# A tibble: 530 × 6
   from             to               perms offset   inode   pathname            
   <chr>            <chr>            <chr> <chr>    <chr>   <chr>               
 1 000056105b1c9000 000056105b1ca000 r--p  00000000 549660  /opt/R/4.5.3/lib/R/…
 2 000056105b1ca000 000056105b1cb000 r-xp  00001000 549660  /opt/R/4.5.3/lib/R/…
 3 000056105b1cb000 000056105b1cc000 r--p  00002000 549660  /opt/R/4.5.3/lib/R/…
 4 000056105b1cc000 000056105b1cd000 r--p  00002000 549660  /opt/R/4.5.3/lib/R/…
 5 000056105b1cd000 000056105b1ce000 rw-p  00003000 549660  /opt/R/4.5.3/lib/R/…
 6 0000561096d4b000 000056109b6f2000 rw-p  00000000 0       [heap]              
 7 00007fbd563f2000 00007fbd5641c000 r--p  00000000 1696201 /root/R/x86_64-pc-l…
 8 00007fbd5641c000 00007fbd5645c000 r-xp  0002a000 1696201 /root/R/x86_64-pc-l…
 9 00007fbd5645c000 00007fbd5646f000 r--p  0006a000 1696201 /root/R/x86_64-pc-l…
10 00007fbd5646f000 00007fbd56473000 r--p  0007c000 1696201 /root/R/x86_64-pc-l…
# ℹ 520 more rows
